Begin Time (s),End Time (s),Common Name,Confidence,3997 Begin File
27,30,Common Yellowthroat,0.1509,   1 PAM10_20230329_134000.wav
42,45,White-crowned Sparrow,0.4326,   1 PAM10_20230329_134000.wav
51,54,Azure Jay,0.1941,   1 PAM10_20230329_134000.wav
51,54,Red-naped Sapsucker,0.2931,   1 PAM10_20230329_134000.wav
54,57,Red-naped Sapsucker,0.2361,   1 PAM10_20230329_134000.wav
54,57,Yellow-bellied Sapsucker,0.2835,   1 PAM10_20230329_134000.wav
33,36,Chipping Sparrow,0.1033,   1 PAM10_20230329_135000.wav
39,42,Northern Cardinal,0.1285,   1 PAM10_20230329_135000.wav
12,15,Common Grasshopper-Warbler,0.1309,   1 PAM10_20230329_140000.wav
21,24,Barn Owl,0.1155,   1 PAM10_20230329_140000.wav
27,30,White-crowned Sparrow,0.2151,   1 PAM10_20230329_140000.wav
36,39,Red-bellied Woodpecker,0.295,   1 PAM10_20230329_140000.wav
39,42,Red-bellied Woodpecker,0.6276,   1 PAM10_20230329_140000.wav
39,42,Wood Thrush,0.119,   1 PAM10_20230329_140000.wav
0,3,Black-capped Chickadee,0.1263,   1 PAM10_20230329_141000.wav
15,18,Carolina Chickadee,0.4497,   1 PAM10_20230329_141000.wav
27,30,White-crowned Sparrow,0.1462,   1 PAM10_20230329_141000.wav
36,39,Pine Warbler,0.7236,   1 PAM10_20230329_141000.wav
48,51,Pine Warbler,0.8608,   1 PAM10_20230329_141000.wav
51,54,Eastern Towhee,0.1902,   1 PAM10_20230329_141000.wav
51,54,Pine Warbler,0.3794,   1 PAM10_20230329_141000.wav
24,27,Dark-eyed Junco,0.1613,   1 PAM10_20230329_142000.wav
3,6,Red-tailed Hawk,0.1147,   1 PAM10_20230329_142000.wav
33,36,Hauxwell's Thrush,0.1719,   1 PAM10_20230329_142000.wav
6,9,Engine,0.1331,   1 PAM10_20230329_143000.wav
33,36,Pine Warbler,0.9322,   1 PAM10_20230329_144000.wav
15,18,White-breasted Nuthatch,0.8933,   1 PAM10_20230329_145000.wav
3,6,Carolina Wren,0.2095,   1 PAM10_20230329_145000.wav
45,48,Carolina Wren,0.145,   1 PAM10_20230329_145000.wav
9,12,Carolina Wren,0.182,   1 PAM10_20230329_145000.wav
0,3,Red-breasted Sapsucker,0.1404,   1 PAM10_20230329_150000.wav
0,3,Red-naped Sapsucker,0.5971,   1 PAM10_20230329_150000.wav
0,3,White-breasted Nuthatch,0.2439,   1 PAM10_20230329_150000.wav
0,3,Yellow-bellied Sapsucker,0.4233,   1 PAM10_20230329_150000.wav
12,15,White-breasted Nuthatch,0.566,   1 PAM10_20230329_150000.wav
24,27,Yellowhammer,0.1039,   1 PAM10_20230329_150000.wav
3,6,White-breasted Nuthatch,0.8322,   1 PAM10_20230329_150000.wav
30,33,White-breasted Nuthatch,0.9654,   1 PAM10_20230329_150000.wav
33,36,White-breasted Nuthatch,0.9314,   1 PAM10_20230329_150000.wav
36,39,White-breasted Nuthatch,0.8813,   1 PAM10_20230329_150000.wav
39,42,Red-bellied Woodpecker,0.4181,   1 PAM10_20230329_150000.wav
42,45,White-breasted Nuthatch,0.4139,   1 PAM10_20230329_150000.wav
45,48,White-breasted Nuthatch,0.8365,   1 PAM10_20230329_150000.wav
48,51,White-breasted Nuthatch,0.9135,   1 PAM10_20230329_150000.wav
51,54,White-breasted Nuthatch,0.8172,   1 PAM10_20230329_150000.wav
54,57,White-breasted Nuthatch,0.2313,   1 PAM10_20230329_150000.wav
6,9,White-breasted Nuthatch,0.954,   1 PAM10_20230329_150000.wav
12,15,Pine Warbler,0.3339,   1 PAM10_20230329_151000.wav
15,18,Pine Warbler,0.9854,   1 PAM10_20230329_151000.wav
30,33,Rusty-tinged Antpitta,0.6455,   1 PAM10_20230329_151000.wav
39,42,White-breasted Nuthatch,0.384,   1 PAM10_20230329_151000.wav
42,45,White-breasted Nuthatch,0.3581,   1 PAM10_20230329_151000.wav
45,48,Pine Warbler,0.976,   1 PAM10_20230329_151000.wav
9,12,Mallard,0.1412,   1 PAM10_20230329_151000.wav
21,24,Eurasian Woodcock,0.187,   1 PAM10_20230329_152000.wav
48,51,Northern Cardinal,0.2327,   1 PAM10_20230329_152000.wav
54,57,Northern Cardinal,0.2245,   1 PAM10_20230329_152000.wav
0,3,Pileated Woodpecker,0.1046,   1 PAM10_20230329_153000.wav
12,15,Pileated Woodpecker,0.2382,   1 PAM10_20230329_153000.wav
12,15,White-breasted Nuthatch,0.1824,   1 PAM10_20230329_153000.wav
15,18,Dark-eyed Junco,0.1319,   1 PAM10_20230329_153000.wav
18,21,Dark-eyed Junco,0.2233,   1 PAM10_20230329_153000.wav
18,21,Pine Warbler,0.2446,   1 PAM10_20230329_153000.wav
21,24,Pileated Woodpecker,0.1694,   1 PAM10_20230329_153000.wav
21,24,White-breasted Nuthatch,0.1303,   1 PAM10_20230329_153000.wav
24,27,White-breasted Nuthatch,0.6695,   1 PAM10_20230329_153000.wav
27,30,Pileated Woodpecker,0.3362,   1 PAM10_20230329_153000.wav
3,6,Pileated Woodpecker,0.4655,   1 PAM10_20230329_153000.wav
3,6,White-breasted Nuthatch,0.2286,   1 PAM10_20230329_153000.wav
30,33,Swamp Sparrow,0.3358,   1 PAM10_20230329_153000.wav
42,45,Pine Warbler,0.5799,   1 PAM10_20230329_153000.wav
15,18,Carolina Chickadee,0.2961,   1 PAM10_20230329_155000.wav
27,30,Carolina Chickadee,0.2542,   1 PAM10_20230329_155000.wav
3,6,Human vocal,0.1114,   1 PAM10_20230329_155000.wav
42,45,Carolina Chickadee,0.3003,   1 PAM10_20230329_155000.wav
45,48,Carolina Chickadee,0.5479,   1 PAM10_20230329_155000.wav
48,51,Carolina Chickadee,0.1733,   1 PAM10_20230329_155000.wav
57,60,Eurasian Thick-knee,0.1075,   1 PAM10_20230329_155000.wav
6,9,Chimney Swift,0.4326,   1 PAM10_20230329_155000.wav
0,3,Carolina Chickadee,0.6672,   1 PAM10_20230329_160000.wav
12,15,White-breasted Nuthatch,0.6206,   1 PAM10_20230329_160000.wav
15,18,Carolina Chickadee,0.4524,   1 PAM10_20230329_160000.wav
3,6,Carolina Chickadee,0.5337,   1 PAM10_20230329_160000.wav
30,33,Engine,0.2292,   1 PAM10_20230329_160000.wav
33,36,Engine,0.5062,   1 PAM10_20230329_160000.wav
33,36,Human vocal,0.1132,   1 PAM10_20230329_160000.wav
36,39,Engine,0.5184,   1 PAM10_20230329_160000.wav
39,42,Carolina Chickadee,0.1742,   1 PAM10_20230329_160000.wav
42,45,Engine,0.2604,   1 PAM10_20230329_160000.wav
45,48,Engine,0.2438,   1 PAM10_20230329_160000.wav
45,48,Human vocal,0.1845,   1 PAM10_20230329_160000.wav
48,51,Carolina Chickadee,0.2754,   1 PAM10_20230329_160000.wav
48,51,Engine,0.3261,   1 PAM10_20230329_160000.wav
51,54,Engine,0.1253,   1 PAM10_20230329_160000.wav
57,60,Carolina Chickadee,0.1067,   1 PAM10_20230329_160000.wav
6,9,Carolina Chickadee,0.766,   1 PAM10_20230329_160000.wav
9,12,Carolina Chickadee,0.4534,   1 PAM10_20230329_160000.wav
