,,,,  11 
Begin Time (s),End Time (s),Common Name,Confidence,1561 Begin File
0,3.0,Engine,0.1634,   1 PAM2_20230304_112005.wav
0,3.0,Fireworks,0.1987,   1 PAM2_20230304_112005.wav
3.0,6.0,Swamp Sparrow,0.1209,   1 PAM2_20230304_112005.wav
36.0,39.0,American Woodcock,0.1897,   1 PAM2_20230304_112005.wav
39.0,42.0,Wood Frog,0.4456,   1 PAM2_20230304_112005.wav
42.0,45.0,Canvasback,0.1876,   1 PAM2_20230304_112005.wav
42.0,45.0,Mute Swan,0.2494,   1 PAM2_20230304_112005.wav
45.0,48.0,American Woodcock,0.1096,   1 PAM2_20230304_112005.wav
45.0,48.0,Indian Scops-Owl,0.1191,   1 PAM2_20230304_112005.wav
9.0,12.0,Fireworks,0.4073,   1 PAM2_20230304_112005.wav
0,3.0,American Woodcock,0.1029,   1 PAM2_20230304_113000.wav
21.0,24.0,Wood Frog,0.1113,   1 PAM2_20230304_113000.wav
24.0,27.0,American Woodcock,0.1177,   1 PAM2_20230304_113000.wav
27.0,30.0,Spring Peeper,0.1140,   1 PAM2_20230304_113000.wav
33.0,36.0,Wood Frog,0.1356,   1 PAM2_20230304_113000.wav
48.0,51.0,American Woodcock,0.1013,   1 PAM2_20230304_113000.wav
48.0,51.0,Wood Frog,0.1077,   1 PAM2_20230304_113000.wav
51.0,54.0,American Woodcock,0.2009,   1 PAM2_20230304_113000.wav
51.0,54.0,Wood Frog,0.1027,   1 PAM2_20230304_113000.wav
54.0,57.0,American Woodcock,0.1312,   1 PAM2_20230304_113000.wav
54.0,57.0,Wood Frog,0.1084,   1 PAM2_20230304_113000.wav
57.0,60.0,Wood Frog,0.1097,   1 PAM2_20230304_113000.wav
0,3.0,Brown-headed Nuthatch,0.8789,   1 PAM2_20230304_114000.wav
0,3.0,Common Waxbill,0.1707,   1 PAM2_20230304_114000.wav
0,3.0,Spring Peeper,0.1144,   1 PAM2_20230304_114000.wav
12.0,15.0,Spring Peeper,0.4514,   1 PAM2_20230304_114000.wav
15.0,18.0,Eurasian Wren,0.1018,   1 PAM2_20230304_114000.wav
30.0,33.0,Spring Peeper,0.1067,   1 PAM2_20230304_114000.wav
30.0,33.0,Tufted Titmouse,0.1434,   1 PAM2_20230304_114000.wav
33.0,36.0,Spring Peeper,0.1451,   1 PAM2_20230304_114000.wav
36.0,39.0,Brown-headed Nuthatch,0.1546,   1 PAM2_20230304_114000.wav
42.0,45.0,Brown-headed Nuthatch,0.7782,   1 PAM2_20230304_114000.wav
42.0,45.0,Spring Peeper,0.1227,   1 PAM2_20230304_114000.wav
45.0,48.0,American Woodcock,0.1166,   1 PAM2_20230304_114000.wav
48.0,51.0,Brown-headed Nuthatch,0.4228,   1 PAM2_20230304_114000.wav
57.0,60.0,Spring Peeper,0.2220,   1 PAM2_20230304_114000.wav
6.0,9.0,Brimley's Chorus Frog,0.1250,   1 PAM2_20230304_114000.wav
6.0,9.0,Brown-headed Nuthatch,0.1812,   1 PAM2_20230304_114000.wav
6.0,9.0,Eurasian Nuthatch,0.2077,   1 PAM2_20230304_114000.wav
6.0,9.0,Spring Peeper,0.3846,   1 PAM2_20230304_114000.wav
9.0,12.0,Brimley's Chorus Frog,0.1999,   1 PAM2_20230304_114000.wav
9.0,12.0,Spring Peeper,0.5494,   1 PAM2_20230304_114000.wav
12.0,15.0,Swamp Sparrow,0.5059,   1 PAM2_20230304_115000.wav
15.0,18.0,Swamp Sparrow,0.7657,   1 PAM2_20230304_115000.wav
18.0,21.0,Swamp Sparrow,0.5658,   1 PAM2_20230304_115000.wav
21.0,24.0,Swamp Sparrow,0.9632,   1 PAM2_20230304_115000.wav
24.0,27.0,Greater Yellowlegs,0.2120,   1 PAM2_20230304_115000.wav
