"site","OBJECTID","deployment_id.x","division","longitude","latitude","sampling_point.1","forest_type","vegetation","NEAR_DIST_DFTrails","NEAR_DIST_DFRoads","ACTIVITY","FISCAL_YR","YEAR_","Acres","Hectares","Type","DATE","NEAR_DIST_MajorRoads","NEAR_WETLAND","NEAR_STREAM","NEAR_POND","NEAR_ANYWATER","NEAR_DIST_AllRoads","deployment_id.y","days","bobcat","eastern.gray.squirrel","northern.raccoon","white.tailed.deer","coyote","virginia.opossum","eastern.cottontail","red.fox","striped.skunk","grey.fox","american.black.bear","woodrat.or.rat.species","Total_mammals","Colaptes.auratus","Dryobates.pubescens","Dryocopus.pileatus","Melanerpes.carolinus","Picoides.villosus","Sphyrapicus.varius","total_WP","Acris.crepitans","Hyla.chrysoscelis","Anaxyrus.americanus","Lithobates.sphenocephalus","Pseudacris.crucifer","Pseudacris.feriarum","total_frogs","Bubo.virginianus","Strix.varia","total_Owls","Total_Species"
"Site_12",37,"ko_12_36","korstian",-79.035617,35.984767,12,"Hardwood","Average",449.1840876,65.06590951,"Thinning","71-72",NA,30.424052,12.312177,"Intermediate","",378.58457,194.8587252,177.1193672,493.4848933,177.1193672,378.58457,"ko_12_36",47,0,1,1,1,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,3,0,1,0,0,0,0,1,0,1,1,8
"Site_18",41,"ko_18_28","korstian",-79.040936,35.99969,18,"Hardwood","Average",750.1381836,707.5713706,"","",NA,NA,NA,"","",156.0582049,204.2097257,209.6001093,13.06665813,13.06665813,156.0582049,"ko_18_28",40,0,1,1,1,0,1,0,0,0,0,0,0,4,0,1,1,1,1,0,4,1,0,0,0,1,1,3,0,0,0,11
"Site_2",3,"bw_2_2","blackwood",-79.10238,35.96929,2,"Mixed","Sparse",5891.621108,506.2913045,"","",NA,NA,NA,"","",180.9556337,0,526.8172749,0,0,180.9556337,"bw_2_2",73,0,1,1,1,1,1,0,0,0,0,0,0,5,1,1,1,1,1,1,6,1,0,0,0,1,1,3,0,1,1,15
"Site_21",16,"dr_21_23","durham",-79.00424,36.00985,21,"Hardwood","Sparse",859.8538232,146.2085222,"Salvage","94-95",1994,8.522822,3.449063,"Salvage","",510.727061,31.88076831,12.56471121,563.249663,12.56471121,486.6856043,"dr_21_23",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,0,0,1,1,1,3,1,1,2,9
"Site_22",17,"dr_22_24","durham",-78.960979,36.009574,22,"Hardwood","Sparse",55.60038101,64.8373574,"","",NA,NA,NA,"","",395.9834101,351.7764032,55.17827632,1205.911459,55.17827632,393.7963884,"dr_22_24",53,0,1,1,1,0,1,0,0,0,0,0,0,4,1,1,1,1,1,0,5,0,0,0,0,0,0,0,0,1,1,10
"Site_26",20,"dr_26_17","durham",-78.999226,36.018407,26,"Hardwood","Sparse",73.13745171,296.5029717,"","",NA,NA,NA,"","",492.8353616,166.0996463,22.08813254,358.9862685,22.08813254,280.0326626,"dr_26_17",52,0,1,1,1,0,1,0,0,0,0,0,0,4,0,1,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,8
"Site_28",22,"dr_28_18","durham",-78.996999,36.023291,28,"Mixed","Average",202.4535378,91.48567273,"Clearcut"," ",1997,9.737971029,3.940817529,"Regeneration cut","",477.047172,201.5388166,148.6768986,184.7884817,148.6768986,356.2611749,"dr_28_18",56,0,1,1,1,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,2,0,0,1,0,0,0,1,1,1,2,9
"Site_29",4,"bw_29_3","blackwood",-79.097633,35.976707,29,"Mixed","Average",5192.590211,150.573459,"","",NA,NA,NA,"","",628.8918214,0,232.1284994,0,0,628.8918214,"bw_29_3",70,0,1,1,1,1,1,0,0,0,0,0,0,5,1,1,1,1,1,1,6,0,0,0,0,0,1,1,0,1,1,13
"Site_30",42,"ko_30_49","korstian",-79.01103,35.983802,30,"Mixed","Average",186.4322491,42.32861272,"Selection cut"," ",NA,4.96044622,2.007421364,"Intermediate harvest","2016-08-11",638.3907581,242.4847499,51.09882795,245.3037919,51.09882795,417.8122779,"ko_30_49",38,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,5,0,1,0,0,1,0,2,0,0,0,8
"Site_31",43,"ko_31_42","korstian",-79.005059,35.982269,31,"Mixed","Sparse",137.0733377,411.6578557,"","",NA,NA,NA,"","",452.8965036,69.5234016,61.11496602,69.52342462,61.11496602,292.5466069,"ko_31_42",46,0,1,1,1,0,0,0,0,0,0,0,0,3,0,1,1,1,1,0,4,0,0,0,0,1,1,2,0,1,1,10
"Site_37",23,"dr_37_32","durham",-78.969381,36.013314,37,"Hardwood","Average",8.97829644,73.80137942,"Thinning"," ",1938,5.864947573,2.373469569,"Intermediate","",397.3111403,71.4768887,79.88016125,1099.069473,71.4768887,252.8221943,"dr_37_32",52,0,1,0,1,1,1,0,0,0,0,0,0,4,1,1,1,1,1,0,5,0,0,0,0,0,1,1,0,1,1,11
"Site_39",24,"dr_39_46","durham",-78.991875,36.02246,39,"Mixed","Average",280.7825576,93.67560332,"","",NA,NA,NA,"","",282.2577493,224.1078251,6.325938792,209.8239999,6.325938792,282.2577493,"dr_39_46",50,0,1,1,1,0,1,0,0,0,0,0,0,4,0,1,0,1,1,1,4,1,1,1,0,0,0,3,1,0,1,12
"Site_41",7,"bw_41_1","blackwood",-79.096513,35.968467,41,"Pine","Average",5455.489017,93.41748798,"Selection cut","65-66",NA,23.91251427,9.677089903,"Intermediate","",140.4710773,8.437205091,62.26203598,8.437189831,8.437189831,140.4710773,"bw_41_1",73,0,1,1,1,1,1,0,0,0,0,0,0,5,1,1,1,1,1,0,5,1,1,0,0,0,1,3,0,1,1,14
"Site_46",10,"bw_46_4","blackwood",-79.090247,35.988632,46,"Pine","Dense",4276.463713,151.5193614,"Selection cut","65-66",NA,7.309555578,2.958084026,"Intermediate","2015-06-09",521.8593351,358.3688008,168.5304797,358.3687888,168.5304797,486.6030427,"bw_46_4",71,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,5,1,0,0,0,1,0,2,1,1,2,10
"Site_48",47,"ko_48_50","korstian",-79.015601,35.988197,48,"Pine","Average",105.0617564,74.85053239,"Thinning"," ",1945,17.96797787,7.271411749,"Intermediate","2016-06-13",923.78325,259.4989436,91.13227798,561.5024089,91.13227798,661.1309222,"ko_48_50",35,0,1,1,0,1,0,0,0,0,0,0,0,3,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,1,7
"Site_50",25,"dr_50_44","durham",-78.972556,35.988917,50,"Mixed","Average",2043.108423,408.1072031,"Thinning"," ",1937,11.23104346,4.545060215,"Intermediate","2016-06-24",299.7351877,99.13569674,65.1430601,99.13572774,65.1430601,299.7351877,"dr_50_44",53,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,5,0,0,0,0,0,1,1,0,1,1,9
"Site_56",48,"ko_56_40","korstian",-79.027581,35.998659,56,"Mixed","Average",809.1122184,17.13988098,"Thinning"," ",1950,7.110453371,2.877509899,"Intermediate","",279.9652621,486.2683171,92.15768894,406.2886934,92.15768894,279.9652621,"ko_56_40",47,0,0,1,1,1,1,0,0,0,0,0,0,4,1,1,0,1,1,0,4,0,1,1,0,0,1,3,0,0,0,11
"Site_60",27,"dr_60_31","durham",-79.01582,36.004075,60,"Pine","Dense",1445.833063,163.5456069,"Shelterwood harvest"," ",NA,27.49278526,11.12593546,"Regeneration harvest","2017-06-10",360.9704515,57.62818336,57.81028361,567.4622322,57.62818336,222.285032,"dr_60_31",50,0,0,0,1,0,0,1,0,0,1,0,0,3,1,1,0,1,1,0,4,0,0,0,0,1,1,2,0,1,1,10
"Site_65",50,"ko_65_38","korstian",-79.040434,36.008845,65,"Mixed","Average",1756.6999,58.89819697,"Thinning","58-59",1958,2.056087929,0.832072592,"Intermediate","",352.3096342,21.79276705,30.07047948,84.81260822,21.79276705,58.26903847,"ko_65_38",47,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,3,1,1,0,0,1,1,4,0,1,1,10
